,age,continent,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
0,31,0.0,0.0,0.0,5.0,94,94,4.0,110500000.0
1,27,1.0,1.0,1.0,4.0,91,93,1.0,72000000.0
2,31,0.0,0.0,1.0,5.0,91,91,3.0,80000000.0
3,32,1.0,2.0,1.0,4.0,91,91,3.0,51000000.0
4,25,1.0,1.0,1.0,3.0,90,93,1.0,68000000.0
5,32,0.0,2.0,1.0,3.0,90,90,2.0,44000000.0
6,32,1.0,3.0,0.0,4.0,90,90,4.0,60000000.0
7,27,1.0,3.0,1.0,3.0,89,90,2.0,63000000.0
8,26,1.0,1.0,1.0,3.0,89,92,1.0,58000000.0
9,26,1.0,1.0,0.0,4.0,89,90,1.0,53500000.0
10,29,1.0,3.0,1.0,4.0,89,89,3.0,51500000.0
11,31,0.0,0.0,1.0,4.0,89,89,3.0,60000000.0
12,32,1.0,1.0,1.0,5.0,89,89,1.0,38000000.0
13,33,1.0,2.0,0.0,4.0,89,89,2.0,27000000.0
14,26,2.0,3.0,0.0,3.0,88,89,4.0,69500000.0
15,26,0.0,3.0,1.0,3.0,88,90,2.0,59500000.0
16,27,1.0,0.0,1.0,3.0,88,88,4.0,62000000.0
17,26,1.0,0.0,1.0,3.0,88,91,4.0,73500000.0
18,26,0.0,0.0,1.0,3.0,88,89,5.0,69500000.0
19,29,2.0,3.0,1.0,3.0,88,88,4.0,59000000.0
20,29,1.0,2.0,1.0,4.0,88,88,3.0,46000000.0
21,31,1.0,1.0,0.0,4.0,88,88,1.0,36000000.0
22,30,0.0,0.0,1.0,4.0,88,88,3.0,57000000.0
23,40,1.0,1.0,1.0,4.0,88,88,1.0,4000000.0
24,24,1.0,2.0,0.0,3.0,87,92,2.0,57000000.0
25,27,2.0,2.0,1.0,3.0,87,90,2.0,51000000.0
26,25,1.0,3.0,1.0,4.0,87,91,5.0,64000000.0
27,25,1.0,0.0,0.0,3.0,87,89,3.0,62500000.0
28,29,1.0,2.0,0.0,3.0,87,87,3.0,38000000.0
29,31,1.0,0.0,1.0,3.0,87,87,4.0,45000000.0
30,30,1.0,3.0,1.0,3.0,87,87,3.0,46500000.0
31,30,1.0,3.0,1.0,4.0,87,87,3.0,46500000.0
32,31,1.0,2.0,1.0,4.0,87,87,2.0,34000000.0
33,26,2.0,3.0,1.0,3.0,86,87,4.0,52000000.0
34,26,1.0,2.0,1.0,3.0,86,88,2.0,44500000.0
35,25,1.0,3.0,1.0,3.0,86,89,4.0,55000000.0
36,27,0.0,2.0,0.0,3.0,86,86,3.0,36500000.0
37,27,0.0,3.0,0.0,3.0,86,86,5.0,46500000.0
38,28,1.0,3.0,1.0,4.0,86,86,3.0,45000000.0
39,27,1.0,3.0,1.0,3.0,86,86,5.0,45500000.0
40,29,1.0,3.0,1.0,4.0,86,86,4.0,43500000.0
41,31,2.0,2.0,1.0,3.0,86,86,2.0,30000000.0
42,33,0.0,3.0,1.0,3.0,86,86,3.0,18000000.0
43,34,1.0,0.0,1.0,4.0,86,86,4.0,21500000.0
44,23,1.0,2.0,1.0,1.0,85,92,2.0,46500000.0
45,23,1.0,3.0,1.0,2.0,85,90,4.0,50500000.0
46,22,1.0,0.0,0.0,3.0,85,92,4.0,54000000.0
47,25,0.0,1.0,1.0,3.0,85,90,1.0,36500000.0
48,23,1.0,3.0,0.0,3.0,85,90,3.0,50500000.0
49,26,1.0,3.0,1.0,3.0,85,86,3.0,45000000.0
50,27,1.0,0.0,1.0,3.0,85,86,4.0,45000000.0
51,30,0.0,2.0,1.0,3.0,85,85,2.0,28500000.0
52,28,1.0,1.0,1.0,3.0,85,87,1.0,32000000.0
53,29,0.0,0.0,1.0,4.0,85,85,4.0,37500000.0
54,28,2.0,3.0,1.0,3.0,85,85,4.0,39000000.0
55,31,0.0,3.0,1.0,4.0,85,85,3.0,26000000.0
56,29,1.0,3.0,1.0,3.0,85,85,4.0,37500000.0
57,31,1.0,3.0,1.0,3.0,85,85,2.0,33000000.0
58,29,1.0,0.0,1.0,4.0,85,85,2.0,38500000.0
59,35,0.0,2.0,1.0,3.0,85,85,2.0,9000000.0
60,31,1.0,3.0,0.0,3.0,85,85,2.0,26000000.0
61,30,1.0,0.0,1.0,4.0,85,85,4.0,37000000.0
62,32,0.0,2.0,0.0,3.0,85,85,3.0,21500000.0
63,32,1.0,2.0,1.0,4.0,85,85,2.0,22000000.0
64,35,1.0,2.0,1.0,4.0,85,85,2.0,9000000.0
65,36,1.0,0.0,1.0,5.0,85,85,5.0,14000000.0
66,22,0.0,2.0,1.0,2.0,84,88,2.0,34000000.0
67,25,0.0,2.0,0.0,3.0,84,87,3.0,32000000.0
68,23,1.0,3.0,1.0,2.0,84,88,4.0,40500000.0
69,22,1.0,2.0,1.0,2.0,84,90,2.0,36500000.0
70,24,0.0,3.0,1.0,3.0,84,88,3.0,34000000.0
71,24,0.0,3.0,1.0,3.0,84,89,2.0,35500000.0
72,26,1.0,3.0,1.0,2.0,84,87,3.0,38000000.0
73,26,1.0,2.0,1.0,3.0,84,87,3.0,31500000.0
74,24,1.0,0.0,1.0,3.0,84,89,5.0,42000000.0
75,27,1.0,1.0,0.0,2.0,84,86,1.0,25000000.0
76,26,1.0,2.0,1.0,3.0,84,86,2.0,31500000.0
77,25,1.0,1.0,1.0,2.0,84,89,1.0,29500000.0
78,30,0.0,3.0,1.0,3.0,84,84,5.0,29500000.0
79,26,1.0,1.0,1.0,3.0,84,87,1.0,27000000.0
80,29,1.0,3.0,0.0,3.0,84,84,3.0,24000000.0
81,28,1.0,1.0,1.0,2.0,84,84,1.0,22000000.0
82,28,1.0,3.0,1.0,2.0,84,84,4.0,31000000.0
83,31,1.0,3.0,1.0,3.0,84,84,3.0,27500000.0
84,32,1.0,0.0,1.0,3.0,84,84,3.0,25000000.0
85,29,0.0,0.0,1.0,3.0,84,84,4.0,30500000.0
86,30,0.0,3.0,1.0,3.0,84,84,4.0,29000000.0
87,29,1.0,3.0,1.0,3.0,84,84,4.0,24000000.0
88,34,0.0,0.0,1.0,3.0,84,84,3.0,16500000.0
89,32,0.0,0.0,1.0,3.0,84,84,3.0,25000000.0
90,31,1.0,1.0,1.0,2.0,84,84,1.0,19000000.0
91,34,1.0,3.0,1.0,3.0,84,84,5.0,15500000.0
92,34,1.0,3.0,0.0,4.0,84,84,4.0,15500000.0
93,21,1.0,0.0,0.0,3.0,83,92,4.0,40000000.0
94,21,0.0,0.0,1.0,2.0,83,92,4.0,41000000.0
95,26,0.0,0.0,1.0,1.0,83,83,4.0,28000000.0
96,23,2.0,3.0,1.0,2.0,83,88,4.0,34000000.0
97,22,1.0,3.0,0.0,3.0,83,89,4.0,35500000.0
98,22,1.0,3.0,1.0,2.0,83,87,5.0,34000000.0
99,22,1.0,2.0,1.0,2.0,83,88,2.0,29500000.0
100,24,0.0,3.0,0.0,2.0,83,90,4.0,36500000.0
101,22,1.0,0.0,1.0,3.0,83,87,3.0,34500000.0
102,23,1.0,3.0,1.0,3.0,83,88,3.0,34000000.0
103,26,1.0,3.0,1.0,2.0,83,84,5.0,30500000.0
104,25,2.0,3.0,0.0,3.0,83,86,4.0,32500000.0
105,24,1.0,3.0,1.0,3.0,83,86,4.0,33000000.0
106,26,1.0,0.0,0.0,1.0,83,85,4.0,32000000.0
107,29,0.0,2.0,1.0,3.0,83,83,2.0,20000000.0
108,24,1.0,3.0,1.0,3.0,83,89,4.0,35000000.0
109,26,1.0,3.0,1.0,2.0,83,84,4.0,30000000.0
110,22,1.0,0.0,1.0,2.0,83,88,4.0,34500000.0
111,25,0.0,3.0,1.0,3.0,83,85,4.0,31500000.0
112,28,1.0,2.0,1.0,2.0,83,85,2.0,24500000.0
113,25,1.0,1.0,0.0,2.0,83,87,1.0,24000000.0
114,27,0.0,3.0,1.0,2.0,83,83,4.0,26500000.0
115,30,1.0,2.0,0.0,2.0,83,83,3.0,19000000.0
116,27,1.0,3.0,1.0,2.0,83,83,3.0,26500000.0
117,28,0.0,1.0,1.0,2.0,83,84,1.0,21000000.0
118,28,1.0,1.0,1.0,2.0,83,84,1.0,21000000.0
119,28,2.0,3.0,1.0,2.0,83,83,3.0,21000000.0
120,29,1.0,3.0,1.0,3.0,83,83,4.0,25500000.0
121,30,1.0,2.0,1.0,3.0,83,83,2.0,19000000.0
122,28,1.0,3.0,0.0,3.0,83,83,3.0,21000000.0
123,26,0.0,3.0,1.0,3.0,83,84,4.0,30500000.0
124,30,0.0,2.0,0.0,3.0,83,83,3.0,19000000.0
125,31,0.0,2.0,1.0,4.0,83,83,3.0,17500000.0
126,29,1.0,1.0,1.0,2.0,83,84,1.0,20000000.0
127,30,1.0,3.0,0.0,3.0,83,83,4.0,24500000.0
128,31,1.0,1.0,0.0,2.0,83,83,1.0,15500000.0
129,30,1.0,1.0,0.0,3.0,83,83,1.0,16500000.0
130,29,1.0,1.0,1.0,3.0,83,84,1.0,20000000.0
131,29,1.0,3.0,1.0,3.0,83,83,2.0,20000000.0
132,29,1.0,2.0,1.0,3.0,83,83,2.0,20000000.0
133,31,0.0,3.0,1.0,3.0,83,83,3.0,17500000.0
134,33,1.0,1.0,1.0,3.0,83,83,1.0,13000000.0
135,30,1.0,3.0,0.0,3.0,83,83,4.0,24000000.0
136,33,1.0,1.0,1.0,2.0,83,83,1.0,13000000.0
137,34,1.0,3.0,1.0,3.0,83,83,2.0,8000000.0
138,35,1.0,1.0,1.0,3.0,83,83,1.0,6000000.0
139,26,1.0,1.0,1.0,1.0,82,85,1.0,19500000.0
140,18,1.0,2.0,1.0,2.0,82,91,2.0,27000000.0
141,21,0.0,3.0,1.0,1.0,82,90,4.0,32500000.0
142,19,1.0,1.0,1.0,3.0,82,93,1.0,29000000.0
143,30,0.0,3.0,1.0,1.0,82,82,2.0,16500000.0
144,30,0.0,1.0,1.0,1.0,82,82,1.0,14000000.0
145,21,1.0,3.0,1.0,1.0,82,86,4.0,29000000.0
146,21,0.0,0.0,0.0,2.0,82,89,4.0,31500000.0
147,27,1.0,3.0,1.0,2.0,82,83,4.0,26000000.0
148,28,1.0,3.0,1.0,2.0,82,83,3.0,20000000.0
149,24,1.0,3.0,0.0,2.0,82,87,5.0,29500000.0
150,22,1.0,3.0,1.0,2.0,82,88,4.0,30500000.0
151,23,1.0,2.0,1.0,2.0,82,86,2.0,24500000.0
152,23,1.0,3.0,0.0,2.0,82,86,4.0,29000000.0
153,24,1.0,2.0,1.0,2.0,82,88,4.0,25500000.0
154,23,1.0,2.0,0.0,2.0,82,89,2.0,26500000.0
155,25,2.0,3.0,1.0,1.0,82,88,3.0,25500000.0
156,25,0.0,3.0,0.0,1.0,82,84,4.0,26500000.0
157,24,1.0,0.0,1.0,3.0,82,87,3.0,30000000.0
158,26,1.0,3.0,1.0,2.0,82,83,4.0,26000000.0
159,25,1.0,2.0,1.0,2.0,82,84,2.0,22500000.0
160,27,2.0,2.0,1.0,2.0,82,82,3.0,18500000.0
161,25,0.0,3.0,0.0,2.0,82,87,4.0,29500000.0
162,27,0.0,2.0,1.0,2.0,82,83,2.0,21000000.0
163,25,1.0,0.0,1.0,3.0,82,85,3.0,28500000.0
164,29,1.0,1.0,1.0,3.0,82,84,1.0,18000000.0
165,27,1.0,0.0,1.0,2.0,82,82,4.0,23500000.0
166,27,2.0,0.0,1.0,2.0,82,83,3.0,26000000.0
167,26,1.0,3.0,0.0,2.0,82,83,4.0,26000000.0
168,25,1.0,0.0,1.0,2.0,82,85,4.0,28500000.0
169,27,0.0,2.0,1.0,3.0,82,83,2.0,21000000.0
170,29,1.0,2.0,0.0,2.0,82,83,2.0,19500000.0
171,26,1.0,3.0,0.0,2.0,82,83,3.0,21500000.0
172,26,1.0,3.0,1.0,4.0,82,85,4.0,27000000.0
173,29,0.0,3.0,1.0,3.0,82,82,4.0,21500000.0
174,30,1.0,0.0,1.0,3.0,82,82,4.0,21000000.0
175,27,1.0,1.0,1.0,3.0,82,85,1.0,18500000.0
176,29,1.0,3.0,1.0,2.0,82,82,2.0,17000000.0
177,30,1.0,3.0,0.0,2.0,82,82,5.0,21000000.0
178,32,1.0,2.0,0.0,2.0,82,82,3.0,12500000.0
179,31,1.0,0.0,1.0,2.0,82,82,4.0,20000000.0
180,29,1.0,0.0,1.0,3.0,82,82,4.0,22000000.0
181,30,0.0,3.0,0.0,3.0,82,82,4.0,21000000.0
182,30,1.0,0.0,0.0,2.0,82,82,4.0,21500000.0
183,33,1.0,3.0,1.0,2.0,82,82,3.0,9000000.0
184,29,1.0,3.0,1.0,2.0,82,82,2.0,17000000.0
185,27,1.0,3.0,1.0,3.0,82,82,4.0,23000000.0
186,31,1.0,2.0,0.0,3.0,82,82,2.0,15000000.0
187,31,0.0,2.0,1.0,3.0,82,82,2.0,15000000.0
188,32,0.0,2.0,1.0,2.0,82,82,2.0,12500000.0
189,31,1.0,1.0,1.0,3.0,82,82,1.0,13500000.0
190,32,1.0,1.0,0.0,2.0,82,82,1.0,12500000.0
191,32,1.0,2.0,1.0,3.0,82,82,2.0,12500000.0
192,31,1.0,1.0,1.0,2.0,82,82,1.0,13500000.0
193,32,0.0,3.0,1.0,3.0,82,82,3.0,12500000.0
194,35,0.0,2.0,1.0,4.0,82,82,4.0,4800000.0
195,37,1.0,0.0,1.0,3.0,82,82,3.0,8000000.0
196,36,1.0,1.0,0.0,4.0,82,82,1.0,3000000.0
197,24,1.0,2.0,1.0,2.0,81,86,4.0,20000000.0
198,22,1.0,3.0,1.0,1.0,81,86,4.0,24000000.0
199,30,1.0,0.0,1.0,1.0,81,81,4.0,17000000.0
200,24,1.0,3.0,0.0,2.0,81,84,4.0,22500000.0
201,25,1.0,3.0,1.0,2.0,81,84,3.0,18500000.0
202,24,1.0,0.0,1.0,2.0,81,87,4.0,24500000.0
203,23,0.0,3.0,1.0,1.0,81,87,4.0,24500000.0
204,22,1.0,2.0,1.0,2.0,81,88,2.0,21500000.0
205,23,1.0,1.0,1.0,1.0,81,86,1.0,17000000.0
206,24,1.0,3.0,1.0,3.0,81,88,4.0,24500000.0
207,24,1.0,2.0,1.0,3.0,81,85,3.0,19000000.0
208,25,1.0,3.0,1.0,2.0,81,85,3.0,19500000.0
209,25,0.0,0.0,1.0,1.0,81,84,3.0,22500000.0
210,31,0.0,0.0,1.0,3.0,81,81,3.0,16000000.0
211,25,1.0,0.0,1.0,2.0,81,83,4.0,22000000.0
212,25,1.0,2.0,0.0,2.0,81,84,2.0,18500000.0
213,24,1.0,0.0,0.0,3.0,81,88,4.0,25500000.0
214,24,1.0,3.0,1.0,2.0,81,84,3.0,22500000.0
215,23,1.0,2.0,0.0,2.0,81,86,3.0,20000000.0
216,27,1.0,3.0,1.0,2.0,81,82,3.0,17000000.0
217,26,1.0,2.0,1.0,2.0,81,84,3.0,18000000.0
218,25,1.0,0.0,1.0,2.0,81,83,4.0,21500000.0
219,28,1.0,3.0,1.0,3.0,81,81,4.0,18000000.0
220,27,1.0,0.0,0.0,2.0,81,82,4.0,21000000.0
221,27,2.0,2.0,0.0,2.0,81,82,3.0,16500000.0
222,27,1.0,1.0,0.0,2.0,81,84,1.0,15000000.0
223,25,1.0,0.0,0.0,2.0,81,83,3.0,22000000.0
224,24,1.0,0.0,1.0,2.0,81,85,3.0,23500000.0
225,28,1.0,3.0,1.0,2.0,81,81,3.0,18000000.0
226,29,0.0,3.0,1.0,2.0,81,81,3.0,17000000.0
227,26,1.0,3.0,0.0,3.0,81,81,5.0,19000000.0
228,26,1.0,2.0,1.0,2.0,81,82,2.0,17500000.0
229,28,1.0,3.0,1.0,3.0,81,81,3.0,17500000.0
230,27,0.0,0.0,1.0,2.0,81,81,4.0,18500000.0
231,31,0.0,3.0,0.0,4.0,81,81,4.0,15500000.0
232,29,1.0,0.0,1.0,2.0,81,81,4.0,18000000.0
233,29,0.0,0.0,1.0,3.0,81,81,4.0,17500000.0
234,29,1.0,2.0,1.0,3.0,81,81,2.0,14000000.0
235,29,1.0,2.0,1.0,2.0,81,81,2.0,14000000.0
236,33,1.0,3.0,1.0,3.0,81,81,3.0,11000000.0
237,33,1.0,2.0,1.0,3.0,81,81,2.0,7000000.0
238,29,1.0,2.0,1.0,2.0,81,81,4.0,17000000.0
239,26,0.0,3.0,0.0,2.0,81,82,4.0,21000000.0
240,30,0.0,3.0,1.0,2.0,81,81,3.0,16500000.0
241,32,0.0,3.0,1.0,2.0,81,81,3.0,10000000.0
242,31,1.0,3.0,1.0,3.0,81,81,3.0,15000000.0
243,33,1.0,3.0,1.0,3.0,81,81,4.0,11000000.0
244,32,1.0,0.0,1.0,3.0,81,81,4.0,14000000.0
245,32,1.0,3.0,1.0,2.0,81,81,4.0,14000000.0
246,33,0.0,0.0,1.0,2.0,81,81,4.0,11000000.0
247,31,1.0,3.0,1.0,3.0,81,81,5.0,15500000.0
248,34,1.0,2.0,0.0,3.0,81,81,2.0,5500000.0
249,36,1.0,0.0,1.0,2.0,81,81,4.0,6000000.0
250,21,0.0,0.0,1.0,1.0,80,85,3.0,20500000.0
251,21,1.0,3.0,1.0,1.0,80,89,4.0,22500000.0
252,20,1.0,3.0,1.0,1.0,80,90,4.0,23500000.0
253,22,1.0,2.0,1.0,1.0,80,88,3.0,18500000.0
254,24,0.0,3.0,0.0,1.0,80,84,4.0,19500000.0
