ID,reputation,stat_overall,stat_potential,stat_skill_moves,value
0,5,94,94,4,110500000
1,4,91,93,1,72000000
2,5,91,91,3,80000000
3,4,91,91,3,51000000
4,3,90,93,1,68000000
5,3,90,90,2,44000000
6,4,90,90,4,60000000
7,3,89,90,2,63000000
8,3,89,92,1,58000000
9,4,89,90,1,53500000
10,4,89,89,3,51500000
11,4,89,89,3,60000000
12,5,89,89,1,38000000
13,4,89,89,2,27000000
14,3,88,89,4,69500000
15,3,88,90,2,59500000
16,3,88,88,4,62000000
17,3,88,91,4,73500000
18,3,88,89,5,69500000
19,3,88,88,4,59000000
20,4,88,88,3,46000000
21,4,88,88,1,36000000
22,4,88,88,3,57000000
23,4,88,88,1,4000000
24,3,87,92,2,57000000
25,3,87,90,2,51000000
26,4,87,91,5,64000000
27,3,87,89,3,62500000
28,3,87,87,3,38000000
29,3,87,87,4,45000000
30,3,87,87,3,46500000
31,4,87,87,3,46500000
32,4,87,87,2,34000000
33,3,86,87,4,52000000
34,3,86,88,2,44500000
35,3,86,89,4,55000000
36,3,86,86,3,36500000
37,3,86,86,5,46500000
38,4,86,86,3,45000000
39,3,86,86,5,45500000
40,4,86,86,4,43500000
41,3,86,86,2,30000000
42,3,86,86,3,18000000
43,4,86,86,4,21500000
44,1,85,92,2,46500000
45,2,85,90,4,50500000
46,3,85,92,4,54000000
47,3,85,90,1,36500000
48,3,85,90,3,50500000
49,3,85,86,3,45000000
50,3,85,86,4,45000000
51,3,85,85,2,28500000
52,3,85,87,1,32000000
53,4,85,85,4,37500000
54,3,85,85,4,39000000
55,4,85,85,3,26000000
56,3,85,85,4,37500000
57,3,85,85,2,33000000
58,4,85,85,2,38500000
59,3,85,85,2,9000000
60,3,85,85,2,26000000
61,4,85,85,4,37000000
62,3,85,85,3,21500000
63,4,85,85,2,22000000
64,4,85,85,2,9000000
65,5,85,85,5,14000000
66,2,84,88,2,34000000
67,3,84,87,3,32000000
68,2,84,88,4,40500000
69,2,84,90,2,36500000
70,3,84,88,3,34000000
71,3,84,89,2,35500000
72,2,84,87,3,38000000
73,3,84,87,3,31500000
74,3,84,89,5,42000000
75,2,84,86,1,25000000
76,3,84,86,2,31500000
77,2,84,89,1,29500000
78,3,84,84,5,29500000
79,3,84,87,1,27000000
80,3,84,84,3,24000000
81,2,84,84,1,22000000
82,2,84,84,4,31000000
83,3,84,84,3,27500000
84,3,84,84,3,25000000
85,3,84,84,4,30500000
86,3,84,84,4,29000000
87,3,84,84,4,24000000
88,3,84,84,3,16500000
89,3,84,84,3,25000000
90,2,84,84,1,19000000
91,3,84,84,5,15500000
92,4,84,84,4,15500000
93,3,83,92,4,40000000
94,2,83,92,4,41000000
95,1,83,83,4,28000000
96,2,83,88,4,34000000
97,3,83,89,4,35500000
98,2,83,87,5,34000000
99,2,83,88,2,29500000
100,2,83,90,4,36500000
101,3,83,87,3,34500000
102,3,83,88,3,34000000
103,2,83,84,5,30500000
104,3,83,86,4,32500000
105,3,83,86,4,33000000
106,1,83,85,4,32000000
107,3,83,83,2,20000000
108,3,83,89,4,35000000
109,2,83,84,4,30000000
110,2,83,88,4,34500000
111,3,83,85,4,31500000
112,2,83,85,2,24500000
113,2,83,87,1,24000000
114,2,83,83,4,26500000
115,2,83,83,3,19000000
116,2,83,83,3,26500000
117,2,83,84,1,21000000
118,2,83,84,1,21000000
119,2,83,83,3,21000000
120,3,83,83,4,25500000
121,3,83,83,2,19000000
122,3,83,83,3,21000000
123,3,83,84,4,30500000
124,3,83,83,3,19000000
125,4,83,83,3,17500000
126,2,83,84,1,20000000
127,3,83,83,4,24500000
128,2,83,83,1,15500000
129,3,83,83,1,16500000
130,3,83,84,1,20000000
131,3,83,83,2,20000000
132,3,83,83,2,20000000
133,3,83,83,3,17500000
134,3,83,83,1,13000000
135,3,83,83,4,24000000
136,2,83,83,1,13000000
137,3,83,83,2,8000000
138,3,83,83,1,6000000
139,1,82,85,1,19500000
140,2,82,91,2,27000000
141,1,82,90,4,32500000
142,3,82,93,1,29000000
143,1,82,82,2,16500000
144,1,82,82,1,14000000
145,1,82,86,4,29000000
146,2,82,89,4,31500000
147,2,82,83,4,26000000
148,2,82,83,3,20000000
149,2,82,87,5,29500000
150,2,82,88,4,30500000
151,2,82,86,2,24500000
152,2,82,86,4,29000000
153,2,82,88,4,25500000
154,2,82,89,2,26500000
155,1,82,88,3,25500000
156,1,82,84,4,26500000
157,3,82,87,3,30000000
158,2,82,83,4,26000000
159,2,82,84,2,22500000
160,2,82,82,3,18500000
161,2,82,87,4,29500000
162,2,82,83,2,21000000
163,3,82,85,3,28500000
164,3,82,84,1,18000000
165,2,82,82,4,23500000
166,2,82,83,3,26000000
167,2,82,83,4,26000000
168,2,82,85,4,28500000
169,3,82,83,2,21000000
170,2,82,83,2,19500000
171,2,82,83,3,21500000
172,4,82,85,4,27000000
173,3,82,82,4,21500000
174,3,82,82,4,21000000
175,3,82,85,1,18500000
176,2,82,82,2,17000000
177,2,82,82,5,21000000
178,2,82,82,3,12500000
179,2,82,82,4,20000000
180,3,82,82,4,22000000
181,3,82,82,4,21000000
182,2,82,82,4,21500000
183,2,82,82,3,9000000
184,2,82,82,2,17000000
185,3,82,82,4,23000000
186,3,82,82,2,15000000
187,3,82,82,2,15000000
188,2,82,82,2,12500000
189,3,82,82,1,13500000
190,2,82,82,1,12500000
191,3,82,82,2,12500000
192,2,82,82,1,13500000
193,3,82,82,3,12500000
194,4,82,82,4,4800000
195,3,82,82,3,8000000
196,4,82,82,1,3000000
197,2,81,86,4,20000000
198,1,81,86,4,24000000
199,1,81,81,4,17000000
200,2,81,84,4,22500000
201,2,81,84,3,18500000
202,2,81,87,4,24500000
203,1,81,87,4,24500000
204,2,81,88,2,21500000
205,1,81,86,1,17000000
206,3,81,88,4,24500000
207,3,81,85,3,19000000
208,2,81,85,3,19500000
209,1,81,84,3,22500000
210,3,81,81,3,16000000
211,2,81,83,4,22000000
212,2,81,84,2,18500000
213,3,81,88,4,25500000
214,2,81,84,3,22500000
215,2,81,86,3,20000000
216,2,81,82,3,17000000
217,2,81,84,3,18000000
218,2,81,83,4,21500000
219,3,81,81,4,18000000
220,2,81,82,4,21000000
221,2,81,82,3,16500000
222,2,81,84,1,15000000
223,2,81,83,3,22000000
224,2,81,85,3,23500000
225,2,81,81,3,18000000
226,2,81,81,3,17000000
227,3,81,81,5,19000000
228,2,81,82,2,17500000
229,3,81,81,3,17500000
230,2,81,81,4,18500000
231,4,81,81,4,15500000
232,2,81,81,4,18000000
233,3,81,81,4,17500000
234,3,81,81,2,14000000
235,2,81,81,2,14000000
236,3,81,81,3,11000000
237,3,81,81,2,7000000
238,2,81,81,4,17000000
239,2,81,82,4,21000000
240,2,81,81,3,16500000
241,2,81,81,3,10000000
242,3,81,81,3,15000000
243,3,81,81,4,11000000
244,3,81,81,4,14000000
245,2,81,81,4,14000000
246,2,81,81,4,11000000
247,3,81,81,5,15500000
248,3,81,81,2,5500000
249,2,81,81,4,6000000
250,1,80,85,3,20500000
251,1,80,89,4,22500000
252,1,80,90,4,23500000
253,1,80,88,3,18500000
254,1,80,84,4,19500000
255,1,80,80,4,10500000
256,1,80,80,2,4500000
257,1,80,87,3,21000000
258,1,80,83,2,15500000
259,1,80,85,3,17000000
260,2,80,85,3,17000000
261,2,80,86,4,20000000
262,2,80,83,4,18500000
263,2,80,85,4,20000000
264,3,80,85,1,14000000
265,2,80,85,4,20000000
266,1,80,85,3,20000000
267,2,80,84,4,19500000
268,2,80,82,3,15000000
269,1,80,83,1,13000000
270,2,80,85,3,19500000
271,2,80,82,2,15500000
272,1,80,80,3,12000000
273,1,80,80,2,12000000
274,1,80,83,3,19000000
275,1,80,81,3,17500000
276,2,80,84,4,19500000
277,1,80,80,4,14500000
278,1,80,81,1,11500000
279,3,80,85,3,16500000
280,2,80,81,2,14500000
281,2,80,84,2,16000000
282,2,80,80,3,11500000
283,1,80,81,3,14500000
284,1,80,81,3,17500000
285,2,80,80,3,16000000
286,3,80,80,2,11500000
287,2,80,81,4,17500000
288,3,80,82,5,18000000
289,2,80,82,2,15000000
290,2,80,80,3,15500000
291,3,80,80,4,15000000
292,2,80,81,3,13500000
293,2,80,80,3,12000000
294,3,80,83,4,15500000
295,2,80,80,4,15500000
296,2,80,80,3,12000000
297,2,80,80,2,11500000
298,3,80,80,3,12000000
299,2,80,81,4,17500000
300,2,80,80,3,15500000
301,3,80,80,4,15000000
302,2,80,80,2,16000000
303,2,80,83,4,18500000
304,2,80,80,4,14000000
305,2,80,80,3,12000000
306,2,80,81,1,11500000
307,2,80,82,2,14500000
308,2,80,81,2,13500000
309,2,80,80,1,10000000
310,3,80,80,3,12500000
311,3,80,80,4,15500000
312,2,80,80,3,8000000
313,2,80,80,3,12500000
314,2,80,80,4,11000000
315,3,80,80,1,9000000
316,2,80,80,3,10000000
317,2,80,80,4,13000000
318,2,80,80,3,13500000
319,3,80,80,2,6000000
320,3,80,80,3,6000000
321,2,80,80,2,8500000
322,3,80,80,2,4500000
323,3,80,80,3,12000000
324,3,80,80,3,5500000
325,3,80,80,5,8500000
326,2,80,80,3,11500000
327,4,80,80,2,4500000
328,2,80,80,1,6000000
329,3,80,80,3,1700000
330,4,80,80,3,6000000
331,3,80,80,3,8000000
332,2,80,80,1,1000000
333,1,79,86,4,18000000
334,1,79,85,2,15000000
335,2,79,86,5,18000000
336,1,79,86,4,18000000
337,1,79,86,4,18000000
338,1,79,79,4,12000000
339,1,79,79,1,9000000
340,1,79,79,2,9500000
341,1,79,79,2,9500000
342,2,79,84,3,14500000
343,1,79,87,3,16000000
344,1,79,81,4,15500000
345,1,79,86,4,18000000
346,2,79,86,3,15000000
347,2,79,80,3,15000000
348,1,79,79,3,12000000
349,2,79,84,5,17000000
350,3,79,84,3,14500000
351,2,79,85,3,14500000
352,1,79,82,3,16000000
353,1,79,80,3,14500000
354,2,79,84,4,17000000
355,2,79,86,4,18000000
356,2,79,81,3,12500000
357,2,79,82,3,16000000
358,2,79,79,3,13000000
359,2,79,83,4,16000000
360,2,79,83,4,16500000
361,2,79,80,3,15000000
362,2,79,83,1,11500000
363,1,79,81,2,12500000
364,1,79,83,2,14000000
365,2,79,86,3,17500000
366,2,79,81,2,13000000
367,2,79,80,3,11500000
368,2,79,80,2,12000000
369,2,79,83,2,14000000
370,2,79,81,3,15000000
371,1,79,85,4,17500000
372,2,79,82,4,16000000
373,2,79,84,3,14000000
374,1,79,80,3,12000000
375,1,79,84,3,16500000
376,2,79,82,4,13000000
377,2,79,79,4,13000000
378,2,79,79,1,7000000
379,2,79,80,3,12000000
380,2,79,79,4,12500000
381,2,79,80,3,15000000
382,1,79,81,4,15500000
383,3,79,79,4,11000000
384,1,79,79,3,12500000
385,2,79,80,3,12000000
386,1,79,81,1,10500000
387,2,79,79,4,12500000
388,2,79,79,2,10500000
389,2,79,80,2,12000000
390,1,79,82,3,15500000
391,2,79,79,3,9000000
392,1,79,79,3,13000000
393,2,79,79,4,12500000
394,1,79,81,2,12500000
395,1,79,79,3,9000000
396,2,79,80,3,14500000
397,1,79,79,3,10000000
398,1,79,79,3,13000000
399,2,79,79,4,13000000
400,2,79,80,4,14500000
401,1,79,79,4,13000000
402,2,79,79,1,8000000
403,2,79,79,2,10000000
404,2,79,79,3,10000000
405,2,79,80,3,12000000
406,2,79,79,4,9500000
407,2,79,80,1,10000000
408,3,79,79,3,12000000
409,3,79,79,3,12000000
410,2,79,79,3,9500000
